流速	流速，是流体的流动速度。
气栓	气栓（gas slug）是指在火山内形成的高压气泡团，它是斯特朗博利型火山喷发的关键驱动力。
凤爪	凤爪，等于是鸡爪，广东文化中常用“凤”来代替“鸡”一字，一般是把鸡的爪，经过烹制，作为小吃。
波痕	波痕（ripple marks）是由于流体（水或风）的流动在沉积物表面形成的波状起伏的构造。
君长	君长是秦始皇于攻克东冶后，为郡县制度所设置的官制，专门管理闽中郡，类似后代的土司，汉代废除。
胡弓	胡弓（こきゅう）是日本的一种弓弦乐器。 起源 最初见于文献是日本江户时代初期，略晚于三味线。
若昂	若昂（João）是一葡萄牙语人名，是约翰（John）的葡萄牙语变体。下列是名称为若昂的人物。
闪燃	闪燃（Flashover），一般发生在一个起了火的密闭空间，是一个小火发展成大火的必经过程。
凤歌	凤歌，本名向麒钢，是一位中国武侠小说作家。 生平 1977年出生于重庆奉节，毕业于四川大学。
底火	底火（primer）是火器类武器（枪械和火炮）中负责引燃推进药以便驱动抛射物飞出身管的装置。
菲塞	菲塞（Fuissé，fɥise；Fuissié）是法国索恩-卢瓦尔省的一个市镇，属于马孔区。
干化	干化（正月）是后梁太祖朱全忠的第二个年号，共计3年。干化二年六月郢王朱友珪即位后沿用该年号。
杞国	杞国，是中国历史上自商朝到战国初年的一个诸侯国，国祚延绵1000多年，国君为姒姓，禹的后裔。
芡河	芡河，位于安徽省北部，是淮河中游左岸支流，古称沙水，原为鸿沟分流之水，现上游早已淤塞或改道。
装修	装修，又称装潢、室内装饰、室内布置，是把室内空间整理及布置妥当的工作，与室内设计有密切关系。
金币	金币是一种全部或大部份由黄金制造的硬币。黄金差不多在硬币发明之初，就因其价值被用来当作硬币。
贺猛	贺猛（ဟိုမိန်းမြို့），又译贺蒙、洪孟等，是缅甸掸邦朗科县朗科镇区下辖的一个村。
赫士	赫士（Watson McMillen Hayes，8月2日），是一位美国在华传教士和教育家。
明郑	明郑（1628年－1683年）是郑成功家族在中国大陆东南部及台湾西南部等地区建立的政治势力。
靛红	靛红（Isatin）是一种吲哚衍生物。 历史 靛红最早是由法国化学家奥古斯特·罗朗分离出来。
卜人	卜人是商朝、周朝时期进行占卜的神官。 简介 在商朝已经出现此官职，除卜人外，还有贞人、占人。
墨河	墨河，位于中国山东省南部与江苏省北部，是沭河右岸支流，为沭河与白马河之间的主要排水河道之一。
小霞	小霞（カスミ），是日本动画作品《精灵宝可梦》的虚构角色，同时亦是《精灵宝可梦无印》的女主角。
元历	元历（1184年5月27日－1185年9月9日）是日本的年号之一，指的是治承之后、文治之前。
萘钠	萘钠是一种有机盐，化学式为NaC10H8/ C10H8Na，离子化学式为Na+C10H8−。
道家	道家是中国诸子百家中思想学派之一，也是九流十家之一，在春秋战国时期以老子、列子、庄子为代表。
私酒	私酒是指非法生产（通常在自家酿造）的高酒精度的蒸馏酒。在美国主要是由玉米糊作为主要生产原料。
创创	创创是一只雄性大熊猫，2000年8月出生于卧龙中国保护大熊猫研究中心，父母分别为新兴和白雪。
小眼	小眼（Ommatidia），是复眼的组成部份，是一个细小的独立感光组织，能够分辨光暗及颜色。
长历	长历（1037年5月9日~1040年12月16日）是日本的年号之一。此时的天皇是后朱雀天皇。
基甸	基甸（גִּדְעוֹן）是古代希伯来人的士师，他的故事记载在《旧约圣经》中的《士师记》中。
大历	大历（十二月）是唐代宗的第三个年号，共计14年。大历十四年五月二十三日癸亥，唐德宗继位沿用。
过姓	过姓是个古老而又少见的汉姓。主要分布在中国江苏苏锡常地区和浙江嵊州、海盐，特别是无锡、苏州。
西欧	西欧（Western Europe），指的是欧洲地理上的西半部，该地区的国家数量因语境而异。
俞豪	俞豪（9月5日）是一名中国足球运动员，目前效力于中中国足球协会超级联赛的上海海港足球俱乐部。
对焦	对焦（Focus）是一个摄影术语，即使用照相机拍照前调整好焦点的距离，以使拍出来的照片清晰。
自杞	自杞（1100年－1259年）是东爨乌蛮（今彝族）于矢部建立的国家，位于今滇东、黔西南地区。
督亢	督亢是中国古地名，位于现今中华人民共和国河北省涿州、固安、高碑店等地。战国时当地受燕国管辖。
味醂	味醂，中文有时亦作味淋、味霖，是一种日式料理调味品，类似米酒的料酒。味醂由甜糯米加上曲酿成。
塔巷	塔巷（平话字：Ták-háe̤ng）是位于中国福建省福州市鼓楼区的一条街道，为三坊七巷之一。
同居	同居（Cohabitation），是指非婚姻关系的伴侣居住在一起的形式。汉语或称为非婚同居。
三焦	三焦是中医学范畴中六腑之一，又名「决渎之官」，为上焦、中焦、下焦三者的统称；对应的脏为心包。
心悸	心悸（Palpitation）是可以感觉到自己的心脏跳动的不适现象，有时伴有眩晕和呼吸困难。
党河	党河是蒙古语“党金果勒河”译名的简称，位于中国甘肃省河西走廊西端，属于疏勒河水系的内陆河流。
成源	成源，是一名中国足球运动员，山东足球名宿。现在效力于中国足球超级联赛球队山东鲁能，司职前锋。
姆特	姆特（Mut）是埃及神话中的女神，阿蒙神的妻子，与阿蒙神生有儿子孔斯，此三神即底比斯三柱神。
洛谢	洛谢（Loché，lɔʃe）是法国索恩-卢瓦尔省的一个旧市镇。1972年，洛谢并入市镇马孔。
自爆	自爆是指爆炸物自行爆炸，亦可指对自己使用的兵器和机械进行破坏。 概要 自爆大致可以分为三种。
加叻	加叻（Karak）是马来西亚彭亨州文冬县下辖的一个城镇和华人新村，也是县内人口第二多的城镇。
叔老	叔老，中国春秋时期鲁国的大夫，他是鲁文公的曾孙、叔肸之孙、子叔声伯之子，《左传》作子叔齐子。
干兴	干兴（1022年）是宋真宗赵恒的第五个年号，北宋使用该年号共计1年。元年二月宋仁宗即位沿用。
胡坤	胡坤是美国博篪集团(American Borch Group, Inc.)的CEO和创办人。
豆狸	豆狸（まめだぬき）是日本传说中狸幻化的妖怪。西日本的江户时代的怪谈集『絵本百物语』有所记载。
齐衡	齐衡（854年12月23日~857年3月20日）是日本的年号之一，指的是仁寿之后、天安之前。
宝胜	宝胜（或作升国，762年八月-763年四月）是唐朝时浙东起义首领袁晁所用的年号，共计8个月。
蝴蛃	蝴蛃，是中国传说的妖怪，是木石之怪，是山川的精物，形状像三岁小儿,赤黑色,赤目,长耳,美发。
蕨属	蕨属（英语：Bracken；学名：Pteridium），是水龙骨目碗蕨科植物，为粗硕的蕨类。
单播	单播（原文：unicast）是指封包在计算机网络的传输中，目的地址为单一目标的一种传输方式。
咬鬼	咬鬼，是《聊斋志异》的一篇故事，写叶某投宿入住闹鬼的房间,深夜将群鬼慑服,令其无不跪地求饶。
鼓吹	鼓吹是中国古代一种由吹奏乐器和打击乐器组合而成的演奏形式，起源于中国西北少数民族的马上音乐。
2月	2月是公历年中的第二个月，平年有28天，闰年有29天。在历史上，曾经有3次，2月出现30天。
结肠	结肠，中国古称回肠，是大多数脊椎动物消化系统的最后一部分，在将固体废物排出体外前吸收水和盐。
杯面	杯面，是以杯状的耐热防水容器盛载已经过干燥处理的面，只需注入热水焗三分钟便可食用，无需烹调。
欧易	欧易（OKX；原名OKEx）是一间总部位于塞舌尔的加密货币交易所，由徐明星于2017年创办。
秃鹮	秃鹮（学名：Geronticus calvus）是栖息在南部非洲辽阔草原及山区半沙漠的鸟类。
巨蜥	巨蜥是巨蜥属（学名：Varanus）的蜥蜴，包括了所有蜥蜴中最重的科莫多龙及最长的萨氏巨蜥。
钳工	钳工是机械工业中以手工作业为主的工种，是机械工业最古老的工种，因常使用台虎钳加持工具而得名。
职权	职权（英语：authority），是管理职位所拥有的发布命令，以及期望命令被执行的一种权力。
阿延	阿延（Ayn，ajɛ̃，发音同“Aÿin”；Ayin）是法国萨瓦省的一个市镇，属于尚贝里区。
排屋	排屋，是住宅的一种式样，由多幢相连的双层或多层房屋组成，一排排屋之内相邻的房屋共用同一堵墙。
租购	租购是一种信贷购物的形式，买方可以用分期付款的方式先取得货品，待付清货款后便可正式拥有货品。
原肠	原肠（archenteron、digestive tube）是在囊胚时期经由原肠形成所完成。
牧胡	牧胡（목호）是13世纪时期元朝在济州岛设置牧场（又称阿莫）之后，派遣到岛上管理牧场的蒙古人。
绵诸	绵诸，是由先秦华夏人群分裂出来的先秦西戎部落一支，春秋时期西戎八国之一，在今甘肃省天水市东。
顶棋	顶棋，是北京延庆等地的两人传统棋类游戏，当地又称老顶，山东齐河称为四棋儿，也有地方称四步钉。
大蕉	大蕉是香蕉（学名：Musa × paradisiaca，云南亦称粉芭蕉）的人工选育品系之一。
登加	登加（Tengah、Tengah、தெங்கா）是一个位于新加坡西部的规划区和未来的新市镇。
浙西	浙西，又称下三府，是浙江历史文化分区，指原浙江北部杭嘉湖平原三府，即杭州府、湖州府、嘉兴府。
天监	天监（502年四月—519年十二月）是梁武帝萧衍的第一个年号。南朝梁使用这个年号共17年余。
三易	三易是《周官》记载太卜所掌的三种筮法，包括连山、归藏、周易，皆由八经卦两两重叠成六十四别卦。
仪琳	仪琳是金庸武侠小说《笑傲江湖》的重要人物。 生平 她自幼出家为尼，并拜入恒山派定逸师太门下。
臀模	臀模是一种小众职业，通常以女性为主，为模特的一个分类。在欧美，臀模是高薪行业，筛选标准严格。
群岛	群岛（archipelago或islands），又称岛群、列岛，是由一连串岛屿所组成的地形。
垢尝	垢尝（あかなめ），是出现在鸟山石燕在江户时代的妖怪画集《画图百鬼夜行》等书中记载的日本妖怪。
分工	分工是任何经济系统或组织中的任务分离，以便参与者可以专业化（specialisation）。
恋发	恋发是指对毛发的恋物行为，最常见的是头发，但也可以包括其他部位的毛发，例如阴毛、腋毛和体毛。
锦里	锦里，又名锦里一条街、锦里古街，是位于中国四川省成都市的一条古商业街，最早可追溯到秦汉时期。
天延	天延（974年1月16日~976年8月11日）是日本的年号。使用这年号之日本天皇是圆融天皇。
高高	高高是一只来自宝兴蜂桶寨自然保护区野外的雄性大熊猫，出生于1992年，1993年4月被发现。
哥哥	哥哥，禁止使用右手！ 是Galette在2014年9月26日发售的恋爱冒险类型日本成人游戏。
沾面	沾面（つけ麺 tsukemen）是日本拉面的一种，汤底和面条分开盛放，用筷子夹面条蘸汤食用。
